rank,udise_code,school,address,school_lat,school_lng,settlement,cluster,zone,distance_m,is_nearest
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Corporation Colony,Nagarbhavi,Central,27,yes
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Thimmenahalli,Nagarbhavi,Central,295,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Kanaka Nagar,Nagarbhavi,Central,1174,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Sarkari Oni,Yeshwantpur,West,1200,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Kurilingappa Garden,Nagarbhavi,Central,1240,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Nanjarasappa Badavane,Nagarbhavi,Central,1713,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Sumanahalli,Peenya North,North,1939,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Kottigepalya,Peenya North,North,1968,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Gada,JJR Nagar,Central,2034,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Arfath Nagar I & II,JJR Nagar,Central,2148,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,7th & 8th Mn Rd Padarayanapura,JJR Nagar,Central,2186,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Handigudisalu,Majestic,North,2271,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,IPD Salappa Layout,Rayapuram,Central,2314,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,VS Garden,Rayapuram,Central,2354,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Devarajurs Nagar,JJR Nagar,Central,2502,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Harikunte,Rayapuram,Central,2618,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Vinayaka Nagar,JJR Nagar,Central,2658,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Janata Colony,JJR Nagar,Central,2678,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Hoysala Nagar,Nagarbhavi,Central,2707,no
1,29200803131,GOVINDARAJA NGR PS B M P,Corporation colony 4th cross Bangalore 79,12.97811,77.53472,Farookhiya Nagar I & II,JJR Nagar,Central,2745,no
