slum_id,slum_name,ward_name,zone_name,partner_name,total_hh_survey,hhs_completed,male,female,adult,children,elder,pms,pwd,death_reported
330,1st Main Road By the Lake,Vidyaranyapuram,Yelahanka,Sangama,110,110,220,213,279,154,12,0,7,0
333,6th Main Road,Vidyaranyapuram,Yelahanka,Sangama,43,30,60,61,86,35,2,0,5,0
22,7th & 8th Mn Rd Padarayanapura,Padarayanapura (135),Bangalore West,ActionAid,720,717,1093,1128,1831,386,145,2,2,3
237,8th and 9th Main Road,Rayapuram (137),Bangalore West,Thamate,808,790,1598,1460,2212,848,161,0,31,0
332,8th Main Road,Vidyaranyapuram,Yelahanka,Sangama,24,23,55,56,70,41,6,0,1,0
11,Adimoola Compound,K R Market (139),Bangalore West,ActionAid,39,37,68,80,119,29,7,0,1,0
95,Ahammed Nagar I,Nagarabhavi (128),Bangalore West,CFAR,1217,1214,2545,2499,3480,1549,285,16,63,2
341,Ahammed Nagar II,Nagarabhavi (128),Bangalore West,CFAR,644,623,1072,1189,1727,538,142,0,17,0
342,Ahammed Nagar III,Nagarabhavi (128),Bangalore West,CFAR,352,329,778,781,1075,484,85,0,22,0
343,Ahammed Nagar IV,Nagarabhavi (128),Bangalore West,CFAR,59,54,110,119,166,63,17,1,2,0
329,Aishwarya Oil Mill Behind,Vidyaranyapuram,Yelahanka,Sangama,57,53,112,102,146,68,5,0,2,0
32,AK Badavane,Gali Anjenaya Temple (157),Bangalore South,ActionAid,30,30,58,56,88,26,14,0,1,0
33,AK Colony,Gali Anjenaya Temple (157),Bangalore South,ActionAid,124,122,202,212,317,97,23,3,7,1
246,AK colony,Anekal,Anekal,SIEDS,264,252,469,507,774,201,85,0,4,0
290,Allalasandra,Yelahanka Satellite Town (4),Yelahanka,Sama Foundation,314,303,560,561,820,301,32,0,7,0
166,Amavasai Lane,Devara Jeevanahalli (47),Bangalore East,Sama Foundation,307,298,534,552,798,289,87,0,8,0
188,Ambedkar Colony,Jakkur (5),Yelahanka,Sangama,156,131,237,257,356,138,12,0,9,0
144,Ambedkar Nagar,Ullalu (130),RajaRajeshwari Nagar,Janasahayog,701,551,973,1016,1555,429,96,0,21,0
