partner,geojson_name,geojson_cluster
actionaid,"MCT Quarters","jjr nagar"
arunodhaya,"Bishop Line tenament","royapuram harbour"
arunodhaya,"Dobigana","fort and park"
cfar,"Chamundeshwari slum, Nagarbhavi Area","nagarbhavi"
cfar,"Agrahara Dasarhalli-105, Peenya Area","(none)"
cfar,"Agrahara Dasarhalli-1, Peenya Area","(none)"
gubbachi,"Ganesh community","sarjapur road"
janasha,"Ullalu, CRC","(none)"
janasha,"Yeswanthpura, CRC","(none)"
maarga,"Ms Building","(none)"
sangama,"Near Concorde Apartments","(none)"
tndwwt,"Kamarajapuram","fort and park"
tndwwt,"Sarangapani Street","fort and park"
tndwwt,"Sathyamurthy Street","central chennai"
